altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
2169.97,9.122629855303264e-13,8.904210332916437e-13,266000000000000.0,434.82,80.43,-79.88,56667.85,FM,ST101,EUV2017_216_16_10_45_ST101
2183.51,8.383902610629457e-13,8.18317014279982e-13,244460000000000.0,435.06,80.42,-79.98,56681.55,FM,ST101,EUV2017_216_16_10_45_ST101
2197.05,7.705878579654475e-13,7.521379773319527e-13,224690000000000.0,435.29,80.42,-80.09,56695.24,FM,ST101,EUV2017_216_16_10_45_ST101
2210.75,7.076211346032791e-13,6.906788413498679e-13,206330000000000.0,435.52,80.42,-80.2,56708.94,FM,ST101,EUV2017_216_16_10_45_ST101
2224.29,6.505189590052342e-13,6.349438405818006e-13,189680000000000.0,435.74,80.41,-80.3,56722.64,FM,ST101,EUV2017_216_16_10_45_ST101
2237.83,5.980809851377204e-13,5.837613684049991e-13,174390000000000.0,435.96,80.41,-80.41,56736.34,FM,ST101,EUV2017_216_16_10_45_ST101
2251.52,5.49415527375783e-13,5.362610884711328e-13,160200000000000.0,436.17,80.41,-80.51,56750.05,FM,ST101,EUV2017_216_16_10_45_ST101
2265.06,5.05208497738618e-13,4.931124902789174e-13,147310000000000.0,436.38,80.4,-80.62,56763.75,FM,ST101,EUV2017_216_16_10_45_ST101
2278.59,4.646368018031903e-13,4.535121864298943e-13,135480000000000.0,436.58,80.4,-80.73,56777.45,FM,ST101,EUV2017_216_16_10_45_ST101
2292.28,4.269459363483847e-13,4.167237384754764e-13,124490000000000.0,436.78,80.39,-80.83,56791.15,FM,ST101,EUV2017_216_16_10_45_ST101
2305.81,3.9271892659051757e-13,3.833162124895719e-13,114510000000000.0,436.98,80.39,-80.94,56804.85,FM,ST101,EUV2017_216_16_10_45_ST101
2319.33,3.6126986051039314e-13,3.526201189734652e-13,105340000000000.0,437.17,80.39,-81.04,56818.56,FM,ST101,EUV2017_216_16_10_45_ST101
2333.02,3.3205686761284684e-13,3.2410656122317115e-13,96822000000000.0,437.36,80.38,-81.15,56832.26,FM,ST101,EUV2017_216_16_10_45_ST101
2346.54,3.0552579071035587e-13,2.982107074128548e-13,89086000000000.0,437.54,80.38,-81.26,56845.96,FM,ST101,EUV2017_216_16_10_45_ST101
2360.22,2.808672536202692e-13,2.7414255993403177e-13,81896000000000.0,437.72,80.37,-81.36,56859.67,FM,ST101,EUV2017_216_16_10_45_ST101
2373.74,2.584756557536245e-13,2.522870752484636e-13,75367000000000.0,437.9,80.37,-81.47,56873.37,FM,ST101,EUV2017_216_16_10_45_ST101
2387.42,2.3765822597103396e-13,2.319680689624475e-13,69297000000000.0,438.07,80.37,-81.57,56887.08,FM,ST101,EUV2017_216_16_10_45_ST101
2400.94,2.1875106116190352e-13,2.1351359093035414e-13,63784000000000.0,438.23,80.36,-81.68,56900.78,FM,ST101,EUV2017_216_16_10_45_ST101
2414.45,2.0136319147529165e-13,1.9654203213791566e-13,58714000000000.0,438.4,80.36,-81.78,56914.49,FM,ST101,EUV2017_216_16_10_45_ST101
2428.13,1.8519281562275221e-13,1.8075881720569724e-13,53999000000000.0,438.56,80.35,-81.89,56928.19,FM,ST101,EUV2017_216_16_10_45_ST101
2441.64,1.705040097316756e-13,1.6642169959070436e-13,49716000000000.0,438.72,80.35,-81.99,56941.9,FM,ST101,EUV2017_216_16_10_45_ST101
2455.31,1.5683721274920058e-13,1.5308212132879758e-13,45731000000000.0,438.87,80.35,-82.1,56955.61,FM,ST101,EUV2017_216_16_10_45_ST101
2468.82,1.4442220520175778e-13,1.4096436140204664e-13,42111000000000.0,439.02,80.34,-82.21,56969.32,FM,ST101,EUV2017_216_16_10_45_ST101
2482.49,1.3286801723840565e-13,1.2968681079618369e-13,38742000000000.0,439.17,80.34,-82.31,56983.02,FM,ST101,EUV2017_216_16_10_45_ST101
2496.16,1.222500991812557e-13,1.193231133560674e-13,35646000000000.0,439.31,80.34,-82.42,56996.73,FM,ST101,EUV2017_216_16_10_45_ST101
2509.66,1.1259931707117172e-13,1.0990339610914003e-13,32832000000000.0,439.45,80.33,-82.52,57010.44,FM,ST101,EUV2017_216_16_10_45_ST101
2523.32,1.0361729917980358e-13,1.0113643112346027e-13,30213000000000.0,439.59,80.33,-82.63,57024.15,FM,ST101,EUV2017_216_16_10_45_ST101
2536.83,9.545151659127836e-14,9.316615864125198e-14,27832000000000.0,439.72,80.32,-82.73,57037.86,FM,ST101,EUV2017_216_16_10_45_ST101
